Run,Raw_Material_USD_kWh,CVD_Coating_USD_kWh,Cell_Assembly_USD_kWh,BOS_USD_kWh,Overhead_USD_kWh,Cumulative_Production_GWh,Learning_Rate,LR_Multiplier,Total_System_Cost_USD_kWh
1,42.56,45.65,29.8,24.12,17.4,91.45,0.1215,0.8806,140.48
2,48.92,31.09,23.15,15.38,14.85,27.12,0.1495,0.8917,118.94
3,27.96,34.08,22.1,22.3,13.66,2.26,0.1711,0.9561,114.83
4,53.92,32.63,29.67,17.52,15.5,92.64,0.134,0.8679,129.53
5,42.64,42.99,11.34,18.69,8.62,24.62,0.1893,0.8667,107.72
6,40.88,39.24,18.62,20.19,9.35,66.58,0.134,0.8774,112.57
7,32.39,75.03,26.21,19.52,16.23,4.5,0.1041,0.9614,162.85
8,34.91,30.01,29.19,13.3,10.54,62.06,0.1738,0.8436,99.5
9,36.98,71.7,29.23,25.53,12.75,27.68,0.1163,0.9152,161.25
10,28.59,16.96,11.38,24.54,15.63,20.75,0.1917,0.8718,84.65
11,37.48,42.57,22.58,19.41,17.66,7.24,0.1656,0.9241,129.1
12,32.86,18.56,29.3,23.74,16.15,89.39,0.1302,0.8727,105.26
13,45.46,23.24,19.87,18.41,14.73,92.94,0.1431,0.8588,104.53
14,15.63,23.7,23.83,16.07,14.94,82.88,0.1417,0.8637,81.35
15,38.02,22.97,27.26,20.22,13.76,30.11,0.1548,0.8844,108.1
16,32.26,27.44,25.33,15.32,15.03,1.01,0.1224,0.9814,113.24
17,40.02,84.4,27.45,22.44,14.65,24.86,0.1109,0.9217,174.15
18,58.83,24.63,24.14,17.19,17.63,59.18,0.1607,0.8571,122.06
19,53.39,18.35,27.85,13.6,14.94,33.67,0.1583,0.8781,112.52
20,36.04,42.64,27.97,5.49,13.86,14.17,0.137,0.9191,115.81
21,38.52,38.56,29.27,19.49,17.57,20.79,0.1877,0.8744,125.4
22,33.3,84.93,28.99,21.28,15.48,80.72,0.1765,0.8313,152.94
23,38.79,34.43,29.93,25.35,16.15,32.05,0.1213,0.9079,131.33
24,45.89,14.02,22.58,13.06,10.64,14.32,0.1545,0.9085,96.47
25,29.49,29.5,22.86,24.04,12.08,60.07,0.1111,0.9008,106.27
26,52.53,29.27,26.01,18.05,15.25,57.52,0.1287,0.8863,125.06
27,47.32,21.37,34.79,19.75,17.67,40.7,0.1915,0.8449,119.06
28,46.97,27.95,26.14,20.02,17.1,51.26,0.1893,0.8374,115.71
29,43.06,32.97,33.39,19.96,12.86,26.58,0.1277,0.908,129.15
30,32.77,34.16,32.4,11.87,16.07,69.87,0.1285,0.8811,112.14
31,48.1,20.15,32.44,22.86,18.35,22.94,0.1955,0.8652,122.77
32,37.44,44.66,32.06,23.34,13.76,58.77,0.1522,0.8648,130.81
33,26.49,67.34,20.26,23.83,13.36,48.48,0.1943,0.8354,126.37
34,40.64,39.16,19.61,21.95,17.08,14.72,0.1387,0.917,126.94
35,30.73,54.48,20.7,19.17,18.94,40.47,0.1644,0.867,124.87
36,35.16,37.63,30.59,14.13,15.47,52.1,0.1801,0.8446,112.32
37,45.65,23.03,23.62,21.79,11.11,4.21,0.1268,0.9546,119.52
38,39.04,39.01,21.99,20.15,16.53,80.29,0.1693,0.8383,114.61
39,39.7,28.63,22.91,19.99,16.5,72.67,0.1031,0.9037,115.44
40,49.35,22.46,27.39,21.76,16.35,26.35,0.1072,0.923,126.74
41,21.95,33.92,21.52,19.82,13.29,25.4,0.1259,0.9105,100.61
42,49.0,48.59,22.5,18.22,21.58,32.21,0.1413,0.8925,142.71
43,41.18,30.54,23.48,15.28,19.85,80.28,0.1374,0.8687,113.22
44,39.45,76.05,29.59,19.98,14.6,90.18,0.148,0.855,153.61
45,39.7,51.2,16.71,25.89,11.81,18.17,0.1794,0.8849,128.59
46,45.12,28.11,25.04,15.59,13.29,1.63,0.1769,0.9629,122.44
47,48.21,27.77,23.21,24.01,17.04,74.54,0.1548,0.8546,119.86
48,38.11,82.54,28.04,22.86,16.44,44.32,0.114,0.9056,170.24
49,38.93,30.6,24.43,13.15,16.81,65.78,0.1647,0.8497,105.3
50,44.87,40.49,20.41,22.43,16.06,87.51,0.1885,0.8165,117.79
51,23.22,41.43,35.75,20.07,17.66,93.0,0.1471,0.8549,118.08
52,39.21,17.56,32.72,19.67,12.9,41.19,0.1172,0.9047,110.44
53,43.98,17.65,26.23,27.98,12.61,25.36,0.1275,0.9094,116.83
54,36.05,49.3,27.96,23.77,15.67,80.18,0.1627,0.8446,129.02
55,33.61,23.02,21.28,16.29,11.82,38.37,0.1651,0.8684,92.06
56,38.78,35.17,26.04,22.56,10.36,10.71,0.1121,0.9401,124.95
57,35.32,19.13,38.28,16.33,15.56,72.85,0.1709,0.8404,104.73
58,38.03,30.69,31.2,16.5,13.02,74.45,0.1969,0.8152,105.52
59,36.22,38.12,19.72,20.64,15.33,21.07,0.1251,0.9159,119.11
60,52.49,15.35,27.02,24.69,15.74,3.53,0.1013,0.9668,130.81
61,30.88,35.77,25.41,14.05,12.67,12.85,0.1487,0.9151,108.7
62,46.68,36.56,27.6,17.98,15.09,32.1,0.1976,0.8499,122.31
63,35.3,29.02,33.91,24.7,13.32,36.73,0.1045,0.9176,125.03
64,42.61,22.54,20.45,16.24,10.5,88.79,0.1533,0.8503,95.52
65,45.18,30.11,23.99,20.13,16.41,51.76,0.1332,0.8853,120.23
66,52.24,30.12,19.38,18.76,18.67,88.29,0.1472,0.8565,119.2
67,43.14,75.59,26.07,25.11,15.72,19.57,0.1881,0.8765,162.71
68,36.83,33.35,25.54,21.28,19.18,77.86,0.1455,0.862,117.38
69,40.53,29.07,35.42,18.81,16.86,10.07,0.1731,0.9096,127.96
70,55.35,33.32,20.74,16.65,13.05,82.13,0.1789,0.8283,115.23
71,41.31,41.46,29.53,28.42,15.15,37.96,0.1665,0.8676,135.23
72,29.54,40.86,11.89,19.7,20.66,67.33,0.1145,0.895,109.77
73,36.93,41.9,34.66,19.09,13.02,94.31,0.1958,0.8063,117.4
74,36.73,44.55,25.14,22.0,15.25,80.39,0.1184,0.8869,127.43
75,45.84,19.52,25.7,22.88,18.0,21.71,0.1602,0.8914,117.6
76,30.22,43.03,23.89,14.4,17.57,71.44,0.1136,0.8943,115.47
77,35.94,37.68,27.37,19.24,13.13,36.21,0.1021,0.9198,122.65
78,41.71,27.28,22.03,15.71,20.86,65.97,0.104,0.9051,115.47
79,37.76,36.52,25.72,17.74,15.12,9.62,0.1387,0.9288,123.41
80,40.73,33.49,31.74,25.09,14.6,1.82,0.1435,0.9677,140.95
81,41.18,34.71,23.05,24.61,13.03,93.25,0.1579,0.8441,115.29
82,41.72,37.53,23.48,22.36,19.02,94.52,0.1345,0.8668,124.92
83,32.58,17.89,23.6,14.38,11.43,15.6,0.1412,0.9139,91.27
84,46.38,38.88,29.79,20.75,14.02,94.03,0.1902,0.8119,121.65
85,35.72,45.4,24.24,17.7,18.65,57.24,0.1345,0.8813,124.89
86,39.91,38.58,22.77,23.97,16.91,57.4,0.1315,0.8839,125.64
87,30.3,26.19,25.9,17.75,20.06,73.65,0.1719,0.839,100.84
88,40.32,24.78,30.32,16.69,18.5,76.46,0.1978,0.8131,106.2
89,41.52,37.65,18.48,21.44,12.18,24.55,0.1024,0.9279,121.81
90,40.29,48.26,28.74,24.85,16.51,80.8,0.1068,0.8978,142.44
91,33.76,59.07,26.76,24.27,11.46,81.92,0.1767,0.8305,129.0
92,49.02,47.53,26.98,25.2,16.89,19.37,0.1059,0.9307,154.15
93,44.67,42.95,25.09,25.23,11.86,63.53,0.1748,0.8418,126.12
94,38.89,12.66,25.16,26.53,15.05,74.64,0.1377,0.8707,102.99
95,38.82,27.38,28.52,20.72,11.27,59.03,0.151,0.8657,109.7
96,34.09,39.67,17.25,18.22,13.57,31.31,0.1028,0.9224,113.28
97,35.02,26.66,20.96,16.7,13.59,28.98,0.1302,0.9039,102.07
98,51.65,24.13,16.56,24.78,14.62,97.4,0.1837,0.8169,107.62
99,37.13,22.88,34.06,19.31,17.67,83.93,0.1954,0.8116,106.36
100,62.11,70.9,31.3,16.36,12.88,26.98,0.155,0.8878,171.84
101,30.72,20.81,14.14,22.09,11.63,81.4,0.1985,0.8099,80.5
102,42.95,32.15,26.81,14.21,15.42,31.01,0.1098,0.9174,120.67
